47.0,33.18,-13.82
36.4,34.83,-1.57
13.9,22.45,8.55
25.9,25.37,-0.53
13.5,14.2,0.7
9.0,18.81,9.81
11.4,14.75,3.35
16.3,27.32,11.02
33.0,25.96,-7.04
30.2,24.9,-5.3
19.8,21.31,1.51
39.0,30.26,-8.74
53.7,41.78,-11.92
29.0,31.3,2.3
13.1,18.67,5.57
13.9,25.37,11.47
20.6,23.53,2.93
15.8,16.62,0.82
40.0,37.28,-2.72
13.3,17.91,4.61
35.5,36.66,1.16
41.0,36.02,-4.98
28.5,31.72,3.22
28.4,26.98,-1.42
31.0,28.05,-2.95
38.0,19.37,-18.63
21.6,18.76,-2.84
17.2,21.08,3.88
12.3,17.34,5.04
24.0,24.34,0.34
31.8,25.89,-5.91
45.9,47.82,1.92
50.8,52.83,2.03
13.8,19.72,5.92
29.0,27.56,-1.44
32.2,35.65,3.45
13.9,14.75,0.85
62.1,54.22,-7.88
47.3,41.78,-5.52
25.0,32.7,7.7
20.8,22.89,2.09
51.2,32.9,-18.3
14.0,29.67,15.67
59.3,45.91,-13.39
37.7,48.87,11.17
16.0,27.56,11.56
40.4,35.92,-4.48
20.3,25.89,5.59
11.8,18.17,6.37
25.1,20.69,-4.41
34.8,35.48,0.68
28.4,33.61,5.21
